1           base       1 16.821364 9.462348e-04
2           base       2  8.765698 5.992054e-04
3           base       4  4.570968 2.408684e-04
4           base       8  2.307177 1.127731e-02
5           base      16  2.288141 3.856798e-04
6           base      32  1.144991 3.073108e-03
7       critical       1 16.819118 7.515213e-04
8       critical       2  8.765433 3.994629e-03
9       critical       4  4.570708 6.200442e-04
10      critical       8  2.306520 1.234707e-02
11      critical      16  2.287593 4.158985e-04
12      critical      32  1.143559 2.766796e-05
13 false_sharing       1 16.833951 1.032909e-03
14 false_sharing       2  8.771591 1.173909e-03
15 false_sharing       4  4.672180 2.922130e-01
16 false_sharing       8  2.306820 1.112267e-02
17 false_sharing      16  2.354193 1.481386e-03
18 false_sharing      32  1.177393 1.568230e-04
19     reduction       1 16.819325 6.924349e-04
20     reduction       2  8.764242 6.347566e-04
21     reduction       4  4.570337 2.188754e-04
22     reduction       8  2.301922 1.096855e-02
23     reduction      16  2.287384 3.657969e-04
24     reduction      32  1.143577 2.814801e-05
25           seq       1 16.821987 2.262753e-03
26           seq       2 16.826103 1.432959e-02
27           seq       4 16.821505 6.873603e-04
28           seq       8 16.821318 6.108113e-04
29           seq      16 16.822111 1.646154e-03
30           seq      32 16.821195 7.996853e-04
