app,threads,metric,value,machine
false_sharing,4,time,1.001254,draco1
reduction,4,time,0.380633,draco1
seq,4,time,1.932607,draco1
base,8,time,0.800469,draco1
critical,8,time,0.261451,draco1
false_sharing,8,time,0.477685,draco1
reduction,8,time,0.194084,draco1
seq,8,time,1.931874,draco1
base,1,time,1.922895,draco1
critical,1,time,1.922587,draco1
false_sharing,1,time,1.923614,draco1
reduction,1,time,0.067146,draco1
seq,1,time,1.931333,draco1
base,2,time,1.734281,draco1
critical,2,time,1.001776,draco1
false_sharing,2,time,1.002509,draco1
reduction,2,time,1.100643,draco1
seq,2,time,1.928528,draco1
base,4,time,1.618670,draco1
critical,4,time,0.522522,draco1
false_sharing,4,time,0.991681,draco1
reduction,4,time,0.381433,draco1
seq,4,time,1.932254,draco1
base,8,time,0.918813,draco1
critical,8,time,0.261823,draco1
false_sharing,8,time,0.551339,draco1
reduction,8,time,0.200364,draco1
seq,8,time,1.931256,draco1
base,1,time,1.923631,draco1
critical,1,time,1.922929,draco1
false_sharing,1,time,1.923645,draco1
reduction,1,time,0.067154,draco1
seq,1,time,1.932060,draco1
base,2,time,1.092828,draco1
critical,2,time,1.002459,draco1
false_sharing,2,time,1.532699,draco1
reduction,2,time,1.067932,draco1
seq,2,time,1.931832,draco1
base,4,time,0.804674,draco1
critical,4,time,0.522530,draco1
false_sharing,4,time,0.522578,draco1
reduction,4,time,0.375826,draco1
seq,4,time,1.931234,draco1
base,8,time,1.084505,draco1
critical,8,time,0.261521,draco1
false_sharing,8,time,0.561355,draco1
reduction,8,time,0.190672,draco1
seq,8,time,1.931635,draco1
base,1,time,1.923011,draco1
critical,1,time,1.923091,draco1
false_sharing,1,time,1.923017,draco1
reduction,1,time,0.067146,draco1
seq,1,time,1.931825,draco1
base,2,time,1.551088,draco1
critical,2,time,1.001867,draco1
false_sharing,2,time,1.736514,draco1
reduction,2,time,1.081302,draco1
seq,2,time,1.932430,draco1
base,4,time,2.027791,draco1
critical,4,time,0.522411,draco1
false_sharing,4,time,0.910799,draco1
reduction,4,time,0.382603,draco1
seq,4,time,1.931788,draco1
base,8,time,1.812747,draco1
critical,8,time,0.262161,draco1
false_sharing,8,time,0.264440,draco1
reduction,8,time,0.185460,draco1
seq,8,time,1.931892,draco1
base,1,time,1.922930,draco1
critical,1,time,1.922868,draco1
false_sharing,1,time,1.923990,draco1
reduction,1,time,0.067102,draco1
seq,1,time,1.931542,draco1
base,2,time,1.866872,draco1
critical,2,time,1.002615,draco1
false_sharing,2,time,1.645421,draco1
reduction,2,time,1.075113,draco1
seq,2,time,1.931460,draco1
base,4,time,2.037610,draco1
critical,4,time,0.522527,draco1
false_sharing,4,time,0.987930,draco1
reduction,4,time,0.387317,draco1
seq,4,time,1.933401,draco1
base,8,time,1.725726,draco1
critical,8,time,0.263439,draco1
false_sharing,8,time,0.263432,draco1
reduction,8,time,0.181250,draco1
seq,8,time,1.932143,draco1
base,1,time,1.924051,draco1
critical,1,time,1.922486,draco1
false_sharing,1,time,1.923121,draco1
reduction,1,time,0.067147,draco1
seq,1,time,1.931799,draco1
base,2,time,1.845057,draco1
