app,threads,metric,value,machine
false_sharing,8,time,0.511242,hype2
reduction,8,time,0.049407,hype2
seq,8,time,1.610533,hype2
base,10,time,1.359736,hype2
critical,10,time,0.193354,hype2
false_sharing,10,time,0.394957,hype2
reduction,10,time,0.049217,hype2
seq,10,time,1.609918,hype2
base,1,time,1.609463,hype2
critical,1,time,1.609824,hype2
false_sharing,1,time,1.609577,hype2
reduction,1,time,0.049364,hype2
seq,1,time,1.610316,hype2
base,2,time,0.837455,hype2
critical,2,time,0.837381,hype2
false_sharing,2,time,1.348581,hype2
reduction,2,time,0.049342,hype2
seq,2,time,1.610826,hype2
base,4,time,1.739922,hype2
critical,4,time,0.423150,hype2
false_sharing,4,time,0.416068,hype2
reduction,4,time,0.049060,hype2
seq,4,time,1.610025,hype2
base,8,time,1.327132,hype2
critical,8,time,0.234631,hype2
false_sharing,8,time,0.230047,hype2
reduction,8,time,0.049110,hype2
seq,8,time,1.610674,hype2
base,10,time,1.382857,hype2
critical,10,time,0.193377,hype2
false_sharing,10,time,0.507668,hype2
reduction,10,time,0.049077,hype2
seq,10,time,1.611274,hype2
base,1,time,1.609845,hype2
critical,1,time,1.610024,hype2
false_sharing,1,time,1.609662,hype2
reduction,1,time,0.049432,hype2
seq,1,time,1.610727,hype2
base,2,time,1.982773,hype2
critical,2,time,0.837467,hype2
false_sharing,2,time,1.347820,hype2
reduction,2,time,0.049254,hype2
seq,2,time,1.610758,hype2
base,4,time,1.385332,hype2
critical,4,time,0.423625,hype2
false_sharing,4,time,0.826679,hype2
reduction,4,time,0.049442,hype2
seq,4,time,1.611187,hype2
base,8,time,1.339786,hype2
critical,8,time,0.235138,hype2
false_sharing,8,time,0.510261,hype2
reduction,8,time,0.049232,hype2
seq,8,time,1.610526,hype2
base,10,time,0.976716,hype2
critical,10,time,0.193210,hype2
false_sharing,10,time,0.422393,hype2
reduction,10,time,0.048987,hype2
seq,10,time,1.610388,hype2
base,1,time,1.610586,hype2
critical,1,time,1.609745,hype2
false_sharing,1,time,1.609425,hype2
reduction,1,time,0.049083,hype2
seq,1,time,1.610738,hype2
base,2,time,1.980845,hype2
critical,2,time,0.836679,hype2
false_sharing,2,time,0.822596,hype2
reduction,2,time,0.049046,hype2
seq,2,time,1.611012,hype2
base,4,time,0.760385,hype2
critical,4,time,0.423144,hype2
false_sharing,4,time,0.415723,hype2
reduction,4,time,0.049165,hype2
seq,4,time,1.609874,hype2
base,8,time,1.200738,hype2
critical,8,time,0.234918,hype2
false_sharing,8,time,0.491902,hype2
reduction,8,time,0.049034,hype2
seq,8,time,1.611420,hype2
base,10,time,0.720406,hype2
critical,10,time,0.193266,hype2
false_sharing,10,time,0.396683,hype2
reduction,10,time,0.049415,hype2
seq,10,time,1.611135,hype2
base,1,time,1.610342,hype2
critical,1,time,1.609307,hype2
false_sharing,1,time,1.609402,hype2
reduction,1,time,0.049234,hype2
seq,1,time,1.610330,hype2
base,2,time,1.986365,hype2
critical,2,time,0.838124,hype2
false_sharing,2,time,1.347254,hype2
reduction,2,time,0.049164,hype2
seq,2,time,1.610392,hype2
base,4,time,1.673253,hype2
critical,4,time,0.423337,hype2
false_sharing,4,time,0.849542,hype2
reduction,4,time,0.049302,hype2
seq,4,time,1.610486,hype2
base,8,time,1.458607,hype2
critical,8,time,0.234571,hype2
false_sharing,8,time,0.230336,hype2
reduction,8,time,0.049103,hype2
seq,8,time,1.610465,hype2
base,10,time,1.335290,hype2
critical,10,time,0.193472,hype2
false_sharing,10,time,0.431654,hype2
reduction,10,time,0.049039,hype2
seq,10,time,1.610461,hype2
base,1,time,1.609073,hype2
critical,1,time,1.610050,hype2
false_sharing,1,time,1.610162,hype2
reduction,1,time,0.049121,hype2
seq,1,time,1.610339,hype2
base,2,time,0.836590,hype2
critical,2,time,0.838596,hype2
false_sharing,2,time,1.349150,hype2
reduction,2,time,0.049390,hype2
seq,2,time,1.610387,hype2
base,4,time,1.595970,hype2
critical,4,time,0.423223,hype2
false_sharing,4,time,0.887891,hype2
reduction,4,time,0.049094,hype2
seq,4,time,1.610929,hype2
base,8,time,1.192814,hype2
critical,8,time,0.234471,hype2
false_sharing,8,time,0.472851,hype2
reduction,8,time,0.049005,hype2
seq,8,time,1.610219,hype2
base,10,time,0.980145,hype2
critical,10,time,0.193431,hype2
false_sharing,10,time,0.421365,hype2
reduction,10,time,0.049292,hype2
seq,10,time,1.611439,hype2
base,1,time,1.609764,hype2
critical,1,time,1.622171,hype2
false_sharing,1,time,1.611942,hype2
reduction,1,time,0.049064,hype2
seq,1,time,1.614028,hype2
base,2,time,1.992030,hype2
critical,2,time,0.840606,hype2
false_sharing,2,time,1.353326,hype2
reduction,2,time,0.049335,hype2
seq,2,time,1.613050,hype2
base,4,time,1.727486,hype2
critical,4,time,0.427020,hype2
false_sharing,4,time,0.785997,hype2
reduction,4,time,0.049476,hype2
seq,4,time,1.611677,hype2
base,8,time,1.047620,hype2
critical,8,time,0.234555,hype2
false_sharing,8,time,0.508989,hype2
reduction,8,time,0.052006,hype2
seq,8,time,1.611351,hype2
base,10,time,1.312378,hype2
critical,10,time,0.193356,hype2
false_sharing,10,time,0.425468,hype2
reduction,10,time,0.049085,hype2
seq,10,time,1.615751,hype2
base,1,time,1.612877,hype2
critical,1,time,1.611691,hype2
false_sharing,1,time,1.612172,hype2
reduction,1,time,0.049073,hype2
seq,1,time,1.615775,hype2
base,2,time,1.988656,hype2
critical,2,time,0.840445,hype2
false_sharing,2,time,1.351957,hype2
reduction,2,time,0.049470,hype2
seq,2,time,1.612078,hype2
base,4,time,1.750870,hype2
critical,4,time,0.424261,hype2
false_sharing,4,time,0.766146,hype2
reduction,4,time,0.049007,hype2
seq,4,time,1.615348,hype2
base,8,time,1.606290,hype2
critical,8,time,0.234357,hype2
false_sharing,8,time,0.504521,hype2
reduction,8,time,0.049344,hype2
seq,8,time,1.612035,hype2
base,10,time,1.401501,hype2
critical,10,time,0.193437,hype2
false_sharing,10,time,0.457388,hype2
reduction,10,time,0.049070,hype2
seq,10,time,1.612594,hype2
base,1,time,1.615137,hype2
critical,1,time,1.614589,hype2
false_sharing,1,time,1.611595,hype2
reduction,1,time,0.053855,hype2
seq,1,time,1.610988,hype2
base,2,time,1.988876,hype2
critical,2,time,0.837104,hype2
false_sharing,2,time,1.352667,hype2
reduction,2,time,0.049376,hype2
seq,2,time,1.613784,hype2
base,4,time,1.499836,hype2
critical,4,time,0.427206,hype2
false_sharing,4,time,0.791393,hype2
reduction,4,time,0.049174,hype2
seq,4,time,1.613798,hype2
base,8,time,1.068637,hype2
critical,8,time,0.234832,hype2
false_sharing,8,time,0.485852,hype2
reduction,8,time,0.049003,hype2
seq,8,time,1.611663,hype2
base,10,time,0.799550,hype2
critical,10,time,0.193146,hype2
false_sharing,10,time,0.399119,hype2
reduction,10,time,0.048953,hype2
seq,10,time,1.616363,hype2
base,1,time,1.612009,hype2
critical,1,time,1.615338,hype2
false_sharing,1,time,1.616043,hype2
reduction,1,time,0.049291,hype2
seq,1,time,1.612752,hype2
base,2,time,1.986066,hype2
critical,2,time,0.842063,hype2
false_sharing,2,time,1.350923,hype2
reduction,2,time,0.049081,hype2
seq,2,time,1.615044,hype2
base,4,time,1.249230,hype2
critical,4,time,0.427466,hype2
false_sharing,4,time,0.813447,hype2
reduction,4,time,0.049281,hype2
seq,4,time,1.612070,hype2
base,8,time,1.434841,hype2
critical,8,time,0.234528,hype2
false_sharing,8,time,0.488647,hype2
reduction,8,time,0.048934,hype2
seq,8,time,1.613535,hype2
base,10,time,0.965951,hype2
critical,10,time,0.193500,hype2
false_sharing,10,time,0.456953,hype2
reduction,10,time,0.049165,hype2
seq,10,time,1.614075,hype2
base,1,time,1.613606,hype2
critical,1,time,1.610743,hype2
false_sharing,1,time,1.612298,hype2
reduction,1,time,0.049227,hype2
seq,1,time,1.615382,hype2
base,2,time,1.989018,hype2
critical,2,time,0.838532,hype2
false_sharing,2,time,0.824139,hype2
reduction,2,time,0.049080,hype2
seq,2,time,1.615184,hype2
base,4,time,1.279964,hype2
critical,4,time,0.423274,hype2
false_sharing,4,time,0.796561,hype2
reduction,4,time,0.049099,hype2
seq,4,time,1.613557,hype2
base,8,time,0.538363,hype2
critical,8,time,0.234321,hype2
false_sharing,8,time,0.481156,hype2
reduction,8,time,0.049373,hype2
seq,8,time,1.616891,hype2
base,10,time,0.821739,hype2
critical,10,time,0.193268,hype2
false_sharing,10,time,0.189664,hype2
reduction,10,time,0.049123,hype2
