app,threads,metric,value,machine
critical,1,time,1.269726,tupi2
false_sharing,1,time,1.270222,tupi2
reduction,1,time,0.107454,tupi2
seq,1,time,1.272266,tupi2
base,2,time,1.700541,tupi2
critical,2,time,0.653470,tupi2
false_sharing,2,time,1.080990,tupi2
reduction,2,time,0.107507,tupi2
seq,2,time,1.271812,tupi2
base,4,time,1.174186,tupi2
critical,4,time,0.336619,tupi2
false_sharing,4,time,0.729618,tupi2
reduction,4,time,0.107433,tupi2
seq,4,time,1.272437,tupi2
base,8,time,0.582361,tupi2
critical,8,time,0.187433,tupi2
false_sharing,8,time,0.186959,tupi2
reduction,8,time,0.107493,tupi2
seq,8,time,1.272764,tupi2
base,1,time,1.270284,tupi2
critical,1,time,1.269845,tupi2
false_sharing,1,time,1.269588,tupi2
reduction,1,time,0.107642,tupi2
seq,1,time,1.271820,tupi2
base,2,time,1.756769,tupi2
critical,2,time,0.660958,tupi2
false_sharing,2,time,1.089514,tupi2
reduction,2,time,0.107517,tupi2
seq,2,time,1.272178,tupi2
base,4,time,1.596957,tupi2
critical,4,time,0.336512,tupi2
false_sharing,4,time,0.335764,tupi2
reduction,4,time,0.107495,tupi2
seq,4,time,1.273449,tupi2
base,8,time,0.582933,tupi2
critical,8,time,0.187812,tupi2
false_sharing,8,time,0.193332,tupi2
reduction,8,time,0.107600,tupi2
seq,8,time,1.272304,tupi2
base,1,time,1.269709,tupi2
critical,1,time,1.269673,tupi2
false_sharing,1,time,1.270299,tupi2
reduction,1,time,0.107432,tupi2
seq,1,time,1.275328,tupi2
base,2,time,0.671985,tupi2
critical,2,time,0.656650,tupi2
false_sharing,2,time,1.081382,tupi2
reduction,2,time,0.107421,tupi2
seq,2,time,1.271557,tupi2
base,4,time,0.735551,tupi2
critical,4,time,0.337287,tupi2
false_sharing,4,time,0.803424,tupi2
reduction,4,time,0.107509,tupi2
seq,4,time,1.271912,tupi2
base,8,time,0.766386,tupi2
critical,8,time,0.187803,tupi2
false_sharing,8,time,0.510362,tupi2
reduction,8,time,0.107481,tupi2
seq,8,time,1.272234,tupi2
base,1,time,1.269828,tupi2
critical,1,time,1.269814,tupi2
false_sharing,1,time,1.269662,tupi2
reduction,1,time,0.107481,tupi2
seq,1,time,1.272221,tupi2
base,2,time,0.666374,tupi2
critical,2,time,0.654106,tupi2
false_sharing,2,time,0.663274,tupi2
reduction,2,time,0.107527,tupi2
seq,2,time,1.272157,tupi2
base,4,time,0.723173,tupi2
critical,4,time,0.336784,tupi2
false_sharing,4,time,0.764597,tupi2
reduction,4,time,0.107585,tupi2
seq,4,time,1.271533,tupi2
base,8,time,1.072138,tupi2
critical,8,time,0.187379,tupi2
false_sharing,8,time,0.460046,tupi2
reduction,8,time,0.107468,tupi2
seq,8,time,1.294338,tupi2
base,1,time,1.311182,tupi2
critical,1,time,1.282012,tupi2
false_sharing,1,time,1.281268,tupi2
reduction,1,time,0.107485,tupi2
seq,1,time,1.278675,tupi2
base,2,time,0.668010,tupi2
critical,2,time,0.658944,tupi2
false_sharing,2,time,1.088091,tupi2
reduction,2,time,0.107466,tupi2
seq,2,time,1.280956,tupi2
base,4,time,1.533654,tupi2
critical,4,time,0.342277,tupi2
false_sharing,4,time,0.733790,tupi2
reduction,4,time,0.114283,tupi2
seq,4,time,1.279105,tupi2
base,8,time,0.745625,tupi2
critical,8,time,0.187388,tupi2
false_sharing,8,time,0.471556,tupi2
reduction,8,time,0.107459,tupi2
seq,8,time,1.278355,tupi2
base,1,time,1.276335,tupi2
critical,1,time,1.281857,tupi2
false_sharing,1,time,1.277302,tupi2
reduction,1,time,0.107410,tupi2
seq,1,time,1.278099,tupi2
base,2,time,1.768323,tupi2
critical,2,time,0.659253,tupi2
false_sharing,2,time,0.668060,tupi2
reduction,2,time,0.107510,tupi2
seq,2,time,1.279251,tupi2
base,4,time,1.134131,tupi2
critical,4,time,0.342668,tupi2
false_sharing,4,time,0.729618,tupi2
reduction,4,time,0.107706,tupi2
seq,4,time,1.286562,tupi2
base,8,time,0.794236,tupi2
critical,8,time,0.187549,tupi2
false_sharing,8,time,0.498767,tupi2
reduction,8,time,0.107439,tupi2
seq,8,time,1.278028,tupi2
base,1,time,1.275501,tupi2
critical,1,time,1.274534,tupi2
false_sharing,1,time,1.276850,tupi2
reduction,1,time,0.107428,tupi2
seq,1,time,1.279038,tupi2
base,2,time,1.804685,tupi2
critical,2,time,0.659702,tupi2
false_sharing,2,time,1.087049,tupi2
reduction,2,time,0.107552,tupi2
seq,2,time,1.279606,tupi2
base,4,time,1.533848,tupi2
critical,4,time,0.336884,tupi2
false_sharing,4,time,0.733484,tupi2
reduction,4,time,0.107483,tupi2
seq,4,time,1.282738,tupi2
base,8,time,1.073549,tupi2
critical,8,time,0.187708,tupi2
false_sharing,8,time,0.463070,tupi2
reduction,8,time,0.107483,tupi2
seq,8,time,1.278922,tupi2
base,1,time,1.276327,tupi2
critical,1,time,1.276491,tupi2
false_sharing,1,time,1.275206,tupi2
reduction,1,time,0.107507,tupi2
seq,1,time,1.283006,tupi2
base,2,time,0.664385,tupi2
critical,2,time,0.661485,tupi2
false_sharing,2,time,0.672877,tupi2
reduction,2,time,0.107509,tupi2
seq,2,time,1.277140,tupi2
base,4,time,0.676261,tupi2
critical,4,time,0.337404,tupi2
false_sharing,4,time,0.335669,tupi2
reduction,4,time,0.107491,tupi2
seq,4,time,1.272605,tupi2
base,8,time,0.583592,tupi2
critical,8,time,0.186944,tupi2
false_sharing,8,time,0.186952,tupi2
reduction,8,time,0.107546,tupi2
seq,8,time,1.272103,tupi2
base,1,time,1.270030,tupi2
critical,1,time,1.270291,tupi2
false_sharing,1,time,1.269817,tupi2
reduction,1,time,0.107461,tupi2
seq,1,time,1.271894,tupi2
base,2,time,1.786882,tupi2
critical,2,time,0.654421,tupi2
false_sharing,2,time,1.084977,tupi2
